# Single SKU Max Power Table (unit is 0.5dBm)                                                   
# 2.4G Channel CCK    OFDM        VHT20          VHT40          Txstream_Delta                  
Band: 2.4G CCK_1M CCK_2M CCK_5.5M CCK_11M OFDM_6M OFDM_9M OFDM_12M OFDM_18M OFDM_24M OFDM_36M OFDM_48M OFDM_54M VHT20_MCS0 VHT20_MCS1 VHT20_MCS2 VHT20_MCS3 VHT20_MCS4 VHT20_MCS5 VHT20_MCS6 VHT20_MCS7 VHT20_MCS8 VHT20_MCS9 VHT40_MCS0 VHT40_MCS1 VHT40_MCS2 VHT40_MCS3 VHT40_MCS4 VHT40_MCS5 VHT40_MCS6 VHT40_MCS7 VHT40_MCS8 VHT40_MCS9 Txstream_3T Txstream_2T Txstream_1T                
Ch1 10  10  14  14  14  14 14 14 14  14  14  14 14 14 14 14  14  14  14 14 14 1 2 3                
Ch2 10  10  14  14  14  14 14 14 14  14  14  14 14 14 14 14  14  14  14 14 14 1 2 3                
Ch3 10  10  14  14  14  14 14 14 14  14  14  14 14 14 14 14  14  14  14 14 14 1 2 3                
Ch4 10  10  14  14  14  14 14 14 14  14  14  14 14 14 14 14  14  14  14 14 14 1 2 3                
Ch5 10  10  14  14  14  14 14 14 14  14  14  14 14 14 14 14  14  14  14 14 14 1 2 3                
Ch6 10  10  14  14  14  14 14 14 14  14  14  14 14 14 14 14  14  14  14 14 14 1 2 3                
Ch7 10  10  14  14  14  14 14 14 14  14  14  14 14 14 14 14  14  14  14 14 14 1 2 3                
Ch8 8  8  9  9  9  9 9 9 9  9  9  9 9 9 8 8  8  8  8 8 8 1 2 3                
Ch9 10  10  14  14  14  14 14 14 14  14  14  14 14 14 14 14  14  14  14 14 14 1 2 3                
Ch10 10  10  14  14  14  14 14 14 14  14  14  14 14 14 14 14  14  14  14 14 14 1 2 3                
Ch11 10  10  14  14  14  14 14 14 14  14  14  14 14 14 14 14  14  14  14 14 14 1 2 3                
Ch12 10  10  14  14  14  14 14 14 14  14  14  14 14 14 14 14  14  14  14 14 14 1 2 3                
Ch13 10  10  14  14  14  14 14 14 14  14  14  14 14 14 14 14  14  14  14 14 14 1 2 3                
Ch14 10  10  13  13  13  13 13 14 14  14  14  14 14 14 14 14  14  14  14 14 14 1 2 3                
                                                   
# 5G Channel OFDM        VHT20          VHT40          VHT80          VHT160          Txstream_Delta  
Band: 5G OFDM_6M OFDM_9M OFDM_12M OFDM_18M OFDM_24M OFDM_36M OFDM_48M OFDM_54M VHT20_MCS0 VHT20_MCS1 VHT20_MCS2 VHT20_MCS3 VHT20_MCS4 VHT20_MCS5 VHT20_MCS6 VHT20_MCS7 VHT20_MCS8 VHT20_MCS9 VHT40_MCS0 VHT40_MCS1 VHT40_MCS2 VHT40_MCS3 VHT40_MCS4 VHT40_MCS5 VHT40_MCS6 VHT40_MCS7 VHT40_MCS8 VHT40_MCS9 VHT80_MCS0 VHT80_MCS1 VHT80_MCS2 VHT80_MCS3 VHT80_MCS4 VHT80_MCS5 VHT80_MCS6 VHT80_MCS7 VHT80_MCS8 VHT80_MCS9 VHT160_MCS0 VHT160_MCS1 VHT160_MCS2 VHT160_MCS3 VHT160_MCS4 VHT160_MCS5 VHT160_MCS6 VHT160_MCS7 VHT160_MCS8 VHT160_MCS9 Txstream_3T Txstream_2T Txstream_1T
Ch184 11  11  11  11 11 11 11  11  11  11 11 11 11 11  11  11  11 11 11 9 9  9  9  9 9 9 9 9  9  9  9 9 9 1 2 3
Ch188 11  11  11  11 11 11 11  11  11  11 11 11 11 11  11  11  11 11 11 9 9  9  9  9 9 9 9 9  9  9  9 9 9 1 2 3
Ch192 11  11  11  11 11 11 11  11  11  11 11 11 11 11  11  11  11 11 11 9 9  9  9  9 9 9 9 9  9  9  9 9 9 1 2 3
Ch196 11  11  11  11 11 11 11  11  11  11 11 11 11 11  11  11  11 11 11 9 9  9  9  9 9 9 9 9  9  9  9 9 9 1 2 3
Ch8 11  11  11  11 11 11 11  11  11  11 11 11 11 11  11  11  11 11 11 9 9  9  9  9 9 9 9 9  9  9  9 9 9 1 2 3
Ch12 11  11  11  11 11 11 11  11  11  11 11 11 11 11  11  11  11 11 11 9 9  9  9  9 9 9 9 9  9  9  9 9 9 1 2 3
Ch16 11  11  11  11 11 11 11  11  11  11 11 11 11 11  11  11  11 11 11 9 9  9  9  9 9 9 9 9  9  9  9 9 9 1 2 3
Ch36 11  11  11  11 11 11 11  11  11  11 11 11 11 11  11  11  11 11 11 9 9  9  9  9 9 9 9 9  9  9  9 9 9 1 2 3
Ch40 11  11  11  11 11 11 11  11  11  11 11 11 11 11  11  11  11 11 11 9 9  9  9  9 9 9 9 9  9  9  9 9 9 1 2 3
Ch44 11  11  11  11 11 11 11  11  11  11 11 11 11 11  11  11  11 11 11 9 9  9  9  9 9 9 9 9  9  9  9 9 9 1 2 3
Ch48 8  8  8  8 8 8 8  8  8  8 8 8 7 7  7  7  7 7 7 7 7  7  7  7 7 7 7 7  7  7  7 7 7 1 2 3
Ch52 11  11  11  11 11 11 11  11  11  11 11 11 11 11  11  11  11 11 11 9 9  9  9  9 9 9 9 9  9  9  9 9 9 1 2 3
Ch56 11  11  11  11 11 11 11  11  11  11 11 11 11 11  11  11  11 11 11 9 9  9  9  9 9 9 9 9  9  9  9 9 9 1 2 3
Ch60 11  11  11  11 11 11 11  11  11  11 11 11 11 11  11  11  11 11 11 9 9  9  9  9 9 9 9 9  9  9  9 9 9 1 2 3
Ch64 11  11  11  11 11 11 11  11  11  11 11 11 11 11  11  11  11 11 11 9 9  9  9  9 9 9 9 9  9  9  9 9 9 1 2 3
Ch68 11  11  11  11 11 11 11  11  11  11 11 11 11 11  11  11  11 11 11 9 9  9  9  9 9 9 9 9  9  9  9 9 9 1 2 3
Ch72 11  11  11  11 11 11 11  11  11  11 11 11 11 11  11  11  11 11 11 9 9  9  9  9 9 9 9 9  9  9  9 9 9 1 2 3
Ch76 11  11  11  11 11 11 11  11  11  11 11 11 11 11  11  11  11 11 11 9 9  9  9  9 9 9 9 9  9  9  9 9 9 1 2 3
Ch80 11  11  11  11 11 11 11  11  11  11 11 11 11 11  11  11  11 11 11 9 9  9  9  9 9 9 9 9  9  9  9 9 9 1 2 3
Ch84 11  11  11  11 11 11 11  11  11  11 11 11 11 11  11  11  11 11 11 9 9  9  9  9 9 9 9 9  9  9  9 9 9 1 2 3
Ch88 11  11  11  11 11 11 11  11  11  11 11 11 11 11  11  11  11 11 11 9 9  9  9  9 9 9 9 9  9  9  9 9 9 1 2 3
